settlement_id,amount_paise,fees_paise,tax_paise,utr_number,status,created_at
setl_5570af976045db,8606258,83317,14998,8659945258yqimbl,processed,2026-03-04T10:00:00+05:30
setl_446441e559f1b9,5759989,26958,4853,5992651732svacml,processed,2026-03-05T10:00:00+05:30
setl_b02381c76b604b,4391060,32491,5850,1009526630jasblf,processed,2026-03-06T10:00:00+05:30
setl_abdd3220e55eba,2672319,4136,745,7802085733sdjdny,processed,2026-03-09T10:00:00+05:30
setl_d62597b893494b,13138858,59814,10767,8037500912tbqhgc,processed,2026-03-10T10:00:00+05:30
setl_0d58af936c994c,2544088,33823,6089,1051223431xtzdsm,processed,2026-03-11T10:00:00+05:30
setl_4f78878440f3ef,6073257,26190,4715,1097215850nnvwog,processed,2026-03-12T10:00:00+05:30
setl_8082b2acdbafab,2921934,17070,3073,7613134847srhjfa,processed,2026-03-13T10:00:00+05:30
setl_4dab63f2969f35,9553201,43022,7744,9763647321oloivd,processed,2026-03-16T10:00:00+05:30
setl_c50e3ad2d55505,9881483,100914,18166,2056589205jkllji,processed,2026-03-17T10:00:00+05:30
setl_6a8e3766737896,3485335,49940,8989,3735322288gthaon,processed,2026-03-18T10:00:00+05:30
setl_0a225c5ab2acd3,4632259,61730,11111,6439240951mlfjax,processed,2026-03-19T10:00:00+05:30
setl_d6d23fcc538619,4324728,33112,5960,9752316092nwfxzc,processed,2026-03-20T10:00:00+05:30
setl_d241d0314c3523,9250330,104416,18797,5905093074moifjr,processed,2026-03-23T10:00:00+05:30
setl_26619a6b042052,15678656,239341,43084,7457066185afetqi,processed,2026-03-24T10:00:00+05:30
